UNQE_FIRE_,Calculated.Acres,size_class,latest_out,duration_hrs,Fire.Mgmt.Complexity,fire_mgmt_n,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2018-ORUMA-000010,0.1,Class A,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000014,2,Class B,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000019,0.3,Class B,NA,NA,NA,NA,WF,0.3,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000021,7.2,Class B,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000023,1.9,Class B,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000025,0.3,Class B,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000027,30,Class C,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000029,7.9,Class B,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000031,0.1,Class A,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000037,5.8,Class B,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000039,125,Class D,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2019-ORUMA-000001,0.3,Class B,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000003,0.1,Class A,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000004,0.3,Class B,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000005,0.3,Class B,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000008,43,Class C,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000009,1,Class B,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000010,2.6,Class B,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000011,35,Class C,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000012,0.1,Class A,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000013,0.1,Class A,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000014,0.3,Class B,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000018,0.3,Class B,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORUMA-000019,0.1,Class A,NA,NA,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
